counter,timestamp,deadtime,height_1,height_2,time_difference
10308.0,1770640797.2901208,0.7607305936073059,756.0,1400.0,-86.0
10314.0,1770640797.3197255,0.010395059962329829,1135.0,1482.0,-85.0
10316.0,1770640797.3251984,0.023944549464398234,705.0,527.0,-11.0
10319.0,1770640797.33022,0.008110526904575456,681.0,1481.0,-87.0
10322.0,1770640797.3355644,0.020543981481481483,725.0,1475.0,-86.0
10323.0,1770640797.3384104,0.014032434249222755,2221.0,712.0,36.0
10326.0,1770640797.3433766,0.026555848368132982,440.0,311.0,-86.0
10328.0,1770640797.3474498,0.7777777777777778,425.0,676.0,-86.0
10330.0,1770640797.355879,0.013054830287206266,367.0,1551.0,-86.0
10331.0,1770640797.3577228,0.023570848008669737,2387.0,340.0,-86.0
10336.0,1770640797.4359295,0.025273752903439885,637.0,1446.0,-85.0
10337.0,1770640797.4361522,0.7635960044395117,483.0,951.0,350.0
10344.0,1770640797.4530253,0.013798435780771404,277.0,1553.0,-85.0
10347.0,1770640797.4590342,0.03646278870829769,347.0,1464.0,-85.0
10348.0,1770640797.45943,0.19866666666666666,1330.0,1500.0,-94.0
10350.0,1770640797.4683871,0.2315227070347284,794.0,1490.0,-86.0
10352.0,1770640797.477667,0.03037223110299155,699.0,1431.0,-86.0
10354.0,1770640797.4804127,0.02416243654822335,673.0,645.0,-87.0
10361.0,1770640797.5166168,0.013744619799139168,242.0,243.0,-86.0
10362.0,1770640797.5179744,0.06569886469383956,433.0,1441.0,-86.0
10372.0,1770640797.5497432,0.009652266867886563,1133.0,1487.0,-86.0
10374.0,1770640797.5807123,0.007997416511530717,1138.0,1543.0,-86.0
10376.0,1770640797.584485,0.027117545375972343,680.0,519.0,198.0
10377.0,1770640797.584856,0.27487864077669905,200.0,1349.0,-117.0
10379.0,1770640797.5856805,0.22409488139825218,662.0,1501.0,-85.0
10381.0,1770640797.5959055,0.015966779740320507,535.0,3437.0,-87.0
10384.0,1770640797.6015859,0.014017261431107302,1137.0,1464.0,-87.0
10386.0,1770640797.6053724,0.13388804841149773,1139.0,233.0,-85.0
10387.0,1770640797.6100223,0.011090003593982645,252.0,2634.0,-87.0
10389.0,1770640797.6153374,0.0291951604418727,299.0,452.0,-99.0
