x,y_fit,uncertainty
2.560000000000000000e+02,7.527850823548192238e-01,1.437989088964895523e-01
2.570000000000000000e+02,-7.064885029354854851e-01,1.438054912872679114e-01
2.580000000000000000e+02,-2.165762088225733351e+00,1.438186551650160461e-01
2.590000000000000000e+02,-3.625035673516038059e+00,1.438383987228173955e-01
2.600000000000000000e+02,-5.084309258806285925e+00,1.438647192516304962e-01
2.610000000000000000e+02,-6.543582844096590634e+00,1.438976131424925253e-01
2.620000000000000000e+02,-8.002856429386895343e+00,1.439370758887789925e-01
2.630000000000000000e+02,-9.462130014677143208e+00,1.439831020893338476e-01
2.640000000000000000e+02,-1.092140359996744792e+01,1.440356854523200947e-01
2.650000000000000000e+02,-1.238067718525769578e+01,1.440948187988729812e-01
2.660000000000000000e+02,-1.383995077054800049e+01,1.441604940689026060e-01
2.670000000000000000e+02,-1.529922435583824836e+01,1.442327023259631635e-01
2.680000000000000000e+02,-1.675849794112855307e+01,1.443114337634389122e-01
2.690000000000000000e+02,-1.821777152641885777e+01,1.443966777111531374e-01
2.700000000000000000e+02,-1.967704511170910564e+01,1.444884226428118090e-01
2.710000000000000000e+02,-2.113631869699941035e+01,1.445866561826228691e-01
2.720000000000000000e+02,-2.259559228228965821e+01,1.446913651151507663e-01
2.730000000000000000e+02,-2.405486586757996292e+01,1.448025353930291470e-01
2.740000000000000000e+02,-2.551413945287026763e+01,1.449201521464932307e-01
2.750000000000000000e+02,-2.697341303816051550e+01,1.450441996935202260e-01
2.760000000000000000e+02,-2.843268662345082021e+01,1.451746615486050329e-01
2.770000000000000000e+02,-2.989196020874106807e+01,1.453115204356488499e-01
2.780000000000000000e+02,-3.135123379403137278e+01,1.454547582976840614e-01
2.790000000000000000e+02,-3.281050737932167749e+01,1.456043563088174897e-01
2.800000000000000000e+02,-3.426978096461192536e+01,1.457602948867003367e-01
2.810000000000000000e+02,-3.572905454990223006e+01,1.459225537030865716e-01
2.820000000000000000e+02,-3.718832813519247793e+01,1.460911116993510173e-01
2.830000000000000000e+02,-3.864760172048278264e+01,1.462659470978260878e-01
